scenario,circo,dept,commune_ancre,inscrits,bureaux,pred_G,pred_CD,pred_ED,pred_AB,ic90_G,ic90_CD,ic90_ED,pred_AU,ic90_AU,part_radicale,gauche_meilleur_pole,gauche_qualifiee,marge_t2,adversaire,score,score_label,vainqueur,couverture_2024,couverture_source,fiabilite
union,01-01,01,Bourg-En-Bresse,86843,114,21.7,33.7,44.1,45.5,7.6,9.7,6.0,0.3,3.3,1.0,21.7,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,01-02,01,Miribel,99770,105,21.6,32.2,46.4,45.4,7.6,9.7,6.0,0.0,3.3,1.0,21.6,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,01-03,01,Valserhône,84130,110,24.6,36.9,36.4,50.0,7.6,9.7,6.0,2.0,3.3,1.0,24.6,0,,CD,5,quasi impossible,CD,100.0,mesure,mesuree
union,01-04,01,Bourg-En-Bresse,94415,116,18.6,31.6,50.1,47.1,7.6,9.7,6.0,0.0,3.3,1.0,18.6,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,01-05,01,Oyonnax,77526,138,22.0,33.3,43.6,48.0,7.6,9.7,6.0,1.1,3.3,1.0,22.0,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,02-01,02,Laon,72024,224,15.9,25.8,57.3,50.0,7.6,9.7,6.0,0.9,3.3,1.0,15.9,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,02-02,02,Saint-Quentin,73165,138,13.3,35.6,50.6,51.1,7.6,9.7,6.0,0.4,3.3,1.0,13.3,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,02-03,02,Hirson,65988,203,41.2,0.1,58.5,52.3,7.6,9.7,6.0,0.2,3.3,1.0,41.2,1,-17.2,ED,4,difficile,ED,100.0,mesure,mesuree
union,02-04,02,Soissons,78549,143,18.0,23.3,58.1,54.4,7.6,9.7,6.0,0.6,3.3,1.0,18.0,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,02-05,02,Château-Thierry,82511,263,16.8,25.8,56.8,50.3,7.6,9.7,6.0,0.6,3.3,1.0,16.8,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,03-01,03,Moulins,88547,172,31.3,25.0,43.8,44.8,7.6,9.7,6.0,0.0,3.3,1.0,31.3,1,-3.8,ED,3,disputé,ED,100.0,mesure,mesuree
union,03-02,03,Montluçon,79877,145,27.0,31.1,40.7,44.6,7.6,9.7,6.0,1.1,3.3,1.0,27.0,1,-2.9,ED,3,disputé,ED,100.0,mesure,mesuree
union,03-03,03,Vichy,80068,131,19.8,36.8,42.4,44.6,7.6,9.7,6.0,1.0,3.3,1.0,19.8,0,,ED,5,quasi impossible,CD,100.0,mesure,mesuree
union,04-01,04,Digne-Les-Bains,58004,132,27.9,19.2,51.1,44.0,7.6,9.7,6.0,1.8,3.3,1.0,27.9,1,-19.4,ED,4,difficile,ED,100.0,mesure,mesuree
union,04-02,04,Manosque,62568,131,31.1,21.2,46.1,44.4,7.6,9.7,6.0,1.5,3.3,1.0,31.1,1,-10.8,ED,4,difficile,ED,100.0,mesure,mesuree
union,05-01,05,Gap,59179,110,29.5,26.0,42.9,43.6,7.6,9.7,6.0,1.5,3.3,1.0,29.5,1,-4.3,ED,3,disputé,ED,100.0,mesure,mesuree
union,05-02,05,Briançon,54517,97,32.9,26.0,37.7,41.0,7.6,9.7,6.0,3.1,3.3,1.0,32.9,1,4.3,ED,2,jouable,G,100.0,mesure,mesuree
union,06-01,06,Nice,81347,94,27.4,33.7,36.6,50.6,7.6,9.7,6.0,2.5,3.3,1.0,27.4,1,2.6,ED,2,jouable,CD,100.0,mesure,mesuree
union,06-02,06,Grasse,87215,144,20.3,26.8,51.3,49.0,7.6,9.7,6.0,1.7,3.3,1.0,20.3,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,06-03,06,Nice,91724,108,29.7,23.9,45.4,52.1,7.6,9.7,6.0,1.1,3.3,1.0,29.7,1,-10.9,ED,4,difficile,ED,100.0,mesure,mesuree
union,06-04,06,Menton,85660,122,16.8,23.0,58.7,51.1,7.6,9.7,6.0,1.7,3.3,1.0,16.8,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,06-05,06,Nice,89884,122,25.6,23.2,47.4,49.7,7.6,9.7,6.0,3.9,3.3,1.0,25.6,1,-17.2,ED,4,difficile,ED,100.0,mesure,mesuree
union,06-06,06,Cagnes-Sur-Mer,80186,94,15.2,30.5,53.7,48.0,7.6,9.7,6.0,0.8,3.3,1.0,15.2,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,06-07,06,Antibes,96284,116,17.3,39.8,41.7,46.1,7.6,9.7,6.0,1.4,3.3,1.0,17.3,0,,ED,5,quasi impossible,CD,100.0,mesure,mesuree
union,06-08,06,Cannes,84414,94,13.0,38.9,46.0,50.8,7.6,9.7,6.0,2.4,3.3,1.0,13.0,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,06-09,06,Le Cannet,82386,88,17.1,34.2,46.6,49.1,7.6,9.7,6.0,2.3,3.3,1.0,17.1,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,07-01,07,Le Teil,78947,128,38.1,14.9,45.9,45.4,7.6,9.7,6.0,1.0,3.3,1.0,38.1,1,-4.8,ED,3,disputé,ED,100.0,mesure,mesuree
union,07-02,07,Annonay,97138,136,22.8,34.3,40.4,42.2,7.6,9.7,6.0,2.4,3.3,1.0,22.8,1,-5.6,ED,3,disputé,CD,100.0,mesure,mesuree
union,07-03,07,Aubenas,81022,175,31.3,29.7,37.3,39.5,7.6,9.7,6.0,1.5,3.3,1.0,31.3,1,4.4,ED,2,jouable,G,100.0,mesure,mesuree
union,08-01,08,Charleville-Mézières,70664,226,18.2,30.6,50.9,49.4,7.6,9.7,6.0,0.2,3.3,1.0,18.2,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,08-02,08,Charleville-Mézières,60281,108,16.0,39.6,43.1,52.1,7.6,9.7,6.0,1.1,3.3,1.0,16.0,0,,ED,5,quasi impossible,CD,100.0,mesure,mesuree
union,08-03,08,Sedan,54387,223,9.6,43.8,45.6,48.1,7.6,9.7,6.0,0.8,3.3,1.0,9.6,0,,ED,5,quasi impossible,CD,100.0,mesure,mesuree
union,09-01,09,Foix,57416,211,53.7,0.0,45.2,42.4,7.6,9.7,6.0,1.8,3.3,1.0,53.7,1,8.6,ED,1,victoire facile,G,100.0,mesure,mesuree
union,09-02,09,Pamiers,62051,165,51.2,1.6,45.4,44.2,7.6,9.7,6.0,1.8,3.3,1.0,51.2,1,6.1,ED,2,jouable,G,100.0,mesure,mesuree
union,10-01,10,Troyes,63973,238,10.5,31.3,57.7,47.4,7.6,9.7,6.0,0.5,3.3,1.0,10.5,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
union,10-02,10,Troyes,73976,182,14.0,36.2,49.3,46.4,7.6,9.7,6.0,0.4,3.3,1.0,14.0,0,,ED,5,quasi impossible,ED,100.0,mesure,mesuree
