circo,nom,prenom,groupe,groupe_libelle,qualite,bloc,debut_mandat,cause_mandat
01-01,Breton,Xavier,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
01-02,Daubié,Romain,DEM,Les Démocrates,Membre apparenté,CD,2024-07-07,élections générales
01-03,Givernet,Olga,EPR,Ensemble pour la République,Membre,CD,2024-07-07,reprise de l'exercice du mandat d'un ancien membre du Gouvernement
01-04,Buisson,Jérôme,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
01-05,Chavent,Marc,UDDPLR,Union des droites pour la République,Membre,ED,2024-07-07,élections générales
02-01,Dragon,Nicolas,RN,Rassemblement National,Membre,ED,2024-06-30,élections générales
02-02,Dive,Julien,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
02-03,Casterman,Eddy,RN,Rassemblement National,Membre apparenté,ED,2024-06-30,élections générales
02-04,Beaurain,José,RN,Rassemblement National,Membre,ED,2024-06-30,élections générales
02-05,Dessigny,Jocelyn,RN,Rassemblement National,Membre,ED,2024-06-30,élections générales
03-01,Monnet,Yannick,GDR,Gauche Démocrate et Républicaine,Membre,G,2024-07-07,élections générales
03-02,Bovet,Jorys,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
03-03,Ray,Nicolas,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
04-01,Girard,Christian,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
04-02,Ricourt Vaginay,Sophie,UDDPLR,Union des droites pour la République,Membre,ED,2024-07-07,élections générales
05-01,Allemand,Marie-José,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
05-02,Rossi,Valérie,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
06-01,Ciotti,Éric,UDDPLR,Union des droites pour la République,Président,ED,2024-07-07,élections générales
06-02,Tivoli,Lionel,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
06-03,Chaix,Bernard,UDDPLR,Union des droites pour la République,Membre,ED,2024-07-07,élections générales
06-04,Tomatis,Gabriel,RN,Rassemblement National,Membre,ED,2024-06-30,"remplacement d'un député ayant démissionné pour cause d’incompatibilité prévue aux articles LO 137, LO 137-1, LO 141 ou LO 141-1 du code électoral"
06-05,D'Intorni,Christelle,UDDPLR,Union des droites pour la République,Membre,ED,2024-06-30,élections générales
06-06,Tribuiani,Cyril,RN,Rassemblement National,Membre,ED,2024-06-30,"remplacement d'un député ayant démissionné pour cause d’incompatibilité prévue aux articles LO 137, LO 137-1, LO 141 ou LO 141-1 du code électoral"
06-07,Pauget,Éric,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
06-08,Martin (Alpes-Maritimes),Alexandra,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
06-09,Tabarot,Michèle,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
07-01,Saulignac,Hervé,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
07-02,Trébuchet,Vincent,UDDPLR,Union des droites pour la République,Membre,ED,2024-07-07,élections générales
07-03,Brun,Fabrice,DR,Droite Républicaine,Membre apparenté,CD,2024-07-07,élections générales
08-01,Vuibert,Lionel,NI,Non inscrit,Député non-inscrit,,2024-12-08,"élection partielle, remplacement d'un député démissionnaire"
08-02,Cordier,Pierre,DR,Droite Républicaine,Membre apparenté,CD,2024-07-07,élections générales
08-03,Warsmann,Jean-Luc,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Membre,,2024-07-07,élections générales
09-01,Froger,Martine,SOC,Socialistes et apparentés,Membre apparenté,G,2024-06-30,élections générales
09-02,Abadie-Amiel,Audrey,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Membre,,2024-07-07,remplacement d'un député nommé au Gouvernement
10-01,Guitton,Jordan,RN,Rassemblement National,Membre,ED,2024-06-30,élections générales
10-02,Bazin-Malgras,Valérie,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
10-03,Ranc,Angélique,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
11-01,Jordan,Édouard,RN,Rassemblement National,Membre,ED,2024-07-07,"remplacement d'un député ayant démissionné pour cause d’incompatibilité prévue aux articles LO 137, LO 137-1, LO 141 ou LO 141-1 du code électoral"
11-02,Falcon,Frédéric,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
11-03,Rancoule,Julien,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
12-01,Cestrières,Pauline,EPR,Ensemble pour la République,Membre,CD,2024-07-07,"remplacement d'un député ayant démissionné pour cause d’incompatibilité prévue aux articles LO 137, LO 137-1, LO 141 ou LO 141-1 du code électoral"
12-02,Alexandre,Laurent,LFI-NFP,La France insoumise - Nouveau Front Populaire,Membre,G,2024-07-07,élections générales
12-03,Rousset,Jean-François,EPR,Ensemble pour la République,Membre,CD,2024-07-07,élections générales
13-01,Griseti,Monique,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
13-02,Lhardit,Laurent,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
13-03,Lelouis,Gisèle,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
13-04,Bompard,Manuel,LFI-NFP,La France insoumise - Nouveau Front Populaire,Membre,G,2024-06-30,élections générales
13-05,Davi,Hendrik,ECOS,Écologiste et Social,Membre,G,2024-07-07,élections générales
13-06,Fayssat,Olivier,UDDPLR,Union des droites pour la République,Membre,ED,2024-07-07,élections générales
13-07,Delogu,Sébastien,LFI-NFP,La France insoumise - Nouveau Front Populaire,Membre,G,2024-06-30,élections générales
13-08,Tonussi,Romain,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
13-09,Mélin,Joëlle,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
13-10,Gonzalez,José,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
13-11,Pena,Marc,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
13-12,Allisio,Franck,RN,Rassemblement National,Membre,ED,2024-06-30,élections générales
13-13,Fouquart,Emmanuel,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
13-14,Verny,Gérault,UDDPLR,Union des droites pour la République,Membre,ED,2024-07-07,élections générales
13-15,Baubry,Romain,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
13-16,Taché,Emmanuel,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
14-01,Bruneau,Joël,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Membre,,2024-07-07,élections générales
14-02,Delaporte,Arthur,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
14-03,Patrier-Leitus,Jérémie,HOR,Horizons & Indépendants,Membre,CD,2024-07-07,élections générales
14-04,Blanchet,Christophe,DEM,Les Démocrates,Membre,CD,2024-07-07,élections générales
14-05,Bouyx,Bertrand,HOR,Horizons & Indépendants,Membre,CD,2024-07-07,élections générales
14-06,Borne,Élisabeth,EPR,Ensemble pour la République,Membre,CD,2024-07-07,reprise de l'exercice du mandat d'un ancien membre du Gouvernement
15-01,Descoeur,Vincent,DR,Droite Républicaine,Membre apparenté,CD,2024-07-07,élections générales
15-02,Bony,Jean-Yves,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
16-01,Pilato,René,LFI-NFP,La France insoumise - Nouveau Front Populaire,Membre,G,2024-07-07,élections générales
16-02,Marsaud,Sandra,EPR,Ensemble pour la République,Membre,CD,2024-07-07,élections générales
16-03,Colombier,Caroline,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
17-01,Gervais,Sabine,DEM,Les Démocrates,Membre,CD,2024-07-07,"remplacement d'un député ayant démissionné pour cause d’incompatibilité prévue aux articles LO 137, LO 137-1, LO 141 ou LO 141-1 du code électoral"
17-02,Biteau,Benoît,ECOS,Écologiste et Social,Membre,G,2024-07-07,élections générales
17-03,Barusseau,Fabrice,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
17-04,Markowsky,Pascal,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
17-05,Plassard,Christophe,HOR,Horizons & Indépendants,Membre,CD,2024-07-07,élections générales
18-01,Cormier-Bouligeon,François,EPR,Ensemble pour la République,Membre,CD,2024-07-07,élections générales
18-02,Sansu,Nicolas,GDR,Gauche Démocrate et Républicaine,Membre,G,2024-07-07,élections générales
18-03,Kervran,Loïc,HOR,Horizons & Indépendants,Membre,CD,2024-07-07,élections générales
19-01,Hollande,François,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
19-02,Meunier,Frédérique,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
21-01,Godard,Océane,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
21-02,Hervieu,Catherine,ECOS,Écologiste et Social,Membre,G,2024-07-07,élections générales
21-03,Pribetich,Pierre,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
21-04,Brigand,Hubert,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
21-05,Lioret,René,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
22-01,Cosson,Mickaël,DEM,Les Démocrates,Membre,CD,2024-07-07,élections générales
22-02,Bouloux,Chantal,EPR,Ensemble pour la République,Membre,CD,2024-07-07,remplacement d'un député en mission au-delà de 6 mois
22-03,Le Fur,Corentin,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
22-04,Lepvraud,Murielle,LFI-NFP,La France insoumise - Nouveau Front Populaire,Membre,G,2024-07-07,élections générales
22-05,Bothorel,Éric,EPR,Ensemble pour la République,Membre apparenté,CD,2024-07-07,élections générales
23-01,Lenoir,Bartolomé,UDDPLR,Union des droites pour la République,Membre,ED,2024-07-07,élections générales
24-01,Lechon,Nadine,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
24-02,Muller,Serge,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
24-03,Joubert,Florence,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
24-04,Peytavie,Sébastien,ECOS,Écologiste et Social,Membre,G,2024-07-07,élections générales
25-01,Croizier,Laurent,DEM,Les Démocrates,Membre,CD,2024-07-07,élections générales
25-02,Voynet,Dominique,ECOS,Écologiste et Social,Membre,G,2024-07-07,élections générales
25-03,Bloch,Matthieu,UDDPLR,Union des droites pour la République,Membre,ED,2024-07-07,élections générales
25-04,Grangier,Géraldine,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
25-05,Liégeon,Eric,DR,Droite Républicaine,Membre,CD,2024-07-07,remplacement d'un député nommé au Gouvernement
26-01,Christophle,Paul,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
26-02,Pollet,Lisette,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
26-03,Pochon,Marie,ECOS,Écologiste et Social,Membre,G,2024-07-07,élections générales
26-04,Monnier,Thibaut,RN,Rassemblement National,Membre apparenté,ED,2024-07-07,élections générales
27-01,Loir,Christine,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
27-02,Levavasseur,Katiana,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
27-03,Mauvieux,Kévin,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
27-04,Brun,Philippe,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
27-05,Houssin,Timothée,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
28-01,Kasbarian,Guillaume,EPR,Ensemble pour la République,Membre,CD,2024-07-07,reprise de l'exercice du mandat d'un ancien membre du Gouvernement
28-02,Minard,Christelle,DR,Droite Républicaine,Membre,CD,2024-07-07,remplacement d'un député décédé
28-03,Gerard,Eric,NI,Non inscrit,Député non-inscrit,,2024-07-07,"remplacement d'un député ayant démissionné pour cause d’incompatibilité prévue aux articles LO 137, LO 137-1, LO 141 ou LO 141-1 du code électoral"
28-04,Vigier,Philippe,DEM,Les Démocrates,Membre,CD,2024-07-07,élections générales
29-01,Le Meur,Annaïg,EPR,Ensemble pour la République,Membre,CD,2024-07-07,élections générales
29-02,Cadalen,Pierre-Yves,LFI-NFP,La France insoumise - Nouveau Front Populaire,Membre,G,2024-07-07,élections générales
29-03,Le Gac,Didier,EPR,Ensemble pour la République,Membre,CD,2024-07-07,élections générales
29-04,Le Feur,Sandrine,EPR,Ensemble pour la République,Membre,CD,2024-07-07,élections générales
29-05,Melchior,Graziella,EPR,Ensemble pour la République,Membre,CD,2024-07-07,élections générales
29-06,Thomin,Mélanie,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
29-07,Tanguy,Liliana,EPR,Ensemble pour la République,Membre,CD,2024-07-07,élections générales
29-08,Balanant,Erwan,DEM,Les Démocrates,Membre,CD,2024-07-07,élections générales
2A-01,Marcangeli,Laurent,HOR,Horizons & Indépendants,Président,CD,2024-07-07,reprise de l'exercice du mandat d'un ancien membre du Gouvernement
2A-02,Colombani,Paul-André,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Membre,,2024-07-07,élections générales
2B-01,Castellani,Michel,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Membre,,2024-07-07,élections générales
2B-02,Ceccoli,François-Xavier,DR,Droite Républicaine,Membre,CD,2024-07-07,élections générales
30-01,Gillet,Yoann,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
30-02,Meizonnet,Nicolas,RN,Rassemblement National,Membre,ED,2024-06-30,élections générales
30-03,Dellong Meng,Catherine,RN,Rassemblement National,Membre,ED,2024-07-07,"remplacement d'un député ayant démissionné pour cause d’incompatibilité prévue aux articles LO 137, LO 137-1, LO 141 ou LO 141-1 du code électoral"
30-04,Meurin,Pierre,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
30-05,Allegret-Pilot,Alexandre,UDDPLR,Union des droites pour la République,Membre,ED,2024-07-07,élections générales
30-06,Josserand,Sylvie,RN,Rassemblement National,Membre,ED,2024-07-07,élections générales
31-01,Clouet,Hadrien,LFI-NFP,La France insoumise - Nouveau Front Populaire,Membre,G,2024-07-07,élections générales
31-02,Stambach-Terrenoir,Anne,LFI-NFP,La France insoumise - Nouveau Front Populaire,Membre,G,2024-07-07,élections générales
31-03,Vignon,Corinne,EPR,Ensemble pour la République,Membre,CD,2024-07-07,élections générales
31-04,Piquemal,François,LFI-NFP,La France insoumise - Nouveau Front Populaire,Membre,G,2024-06-30,élections générales
31-05,Portarrieu,Jean-François,HOR,Horizons & Indépendants,Membre apparenté,CD,2024-07-07,élections générales
31-06,Simion,Arnaud,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
31-07,Bex,Christophe,LFI-NFP,La France insoumise - Nouveau Front Populaire,Membre,G,2024-07-07,élections générales
31-08,Aviragnet,Joël,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
31-09,Arrighi,Christine,ECOS,Écologiste et Social,Membre,G,2024-07-07,élections générales
31-10,Oberti,Jacques,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
32-01,Cazeneuve,Jean-René,EPR,Ensemble pour la République,Membre,CD,2024-07-07,élections générales
32-02,Taupiac,David,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Membre,,2024-07-07,élections générales
33-01,Martin (Gironde),Alexandra,EPR,Ensemble pour la République,Membre,CD,2024-07-07,"remplacement d'un député ayant démissionné pour cause d’incompatibilité prévue aux articles LO 137, LO 137-1, LO 141 ou LO 141-1 du code électoral"
33-02,Thierry,Nicolas,ECOS,Écologiste et Social,Membre,G,2024-07-07,élections générales
33-03,Prud'homme,Loïc,LFI-NFP,La France insoumise - Nouveau Front Populaire,Membre apparenté,G,2024-07-07,élections générales
33-04,David,Alain,SOC,Socialistes et apparentés,Membre,G,2024-07-07,élections générales
