# Sondages 1er tour présidentielle 2027 — https://fr.wikipedia.org/wiki/Liste_de_sondages_sur_l%27%C3%A9lection_pr%C3%A9sidentielle_fran%C3%A7aise_de_2027
# Relevé le 2026-09-17 par src/scrape_pres_2027.py ; une ligne par candidat·e et hypothèse.
# bloc : nomenclature du modèle (G gauche, CD centre+droite, ED extrême droite, AU hors axe).
institut,date_fin,echantillon,hypothese,candidat,parti,bloc,valeur
Harris,2026-09-10,2052,4,ARTHAUD,LO,G,1.0
Harris,2026-09-10,2052,4,MÉLENCHON,LFI,G,17.0
Harris,2026-09-10,2052,4,ROUSSEL,PCF,G,3.0
Harris,2026-09-10,2052,4,TONDELIER,LE,G,4.0
Harris,2026-09-10,2052,4,HOLLANDE,PS,G,7.0
Harris,2026-09-10,2052,4,ATTAL,RE,CD,15.0
Harris,2026-09-10,2052,4,RETAILLEAU,LR,CD,10.0
Harris,2026-09-10,2052,4,DUPONT-AIGNAN,DLF,ED,2.0
Harris,2026-09-10,2052,4,LE PEN,RN,ED,36.0
Harris,2026-09-10,2052,4,ZEMMOUR,REC,ED,5.0
Harris,2026-09-10,2052,5,ARTHAUD,LO,G,1.0
Harris,2026-09-10,2052,5,MÉLENCHON,LFI,G,17.0
Harris,2026-09-10,2052,5,ROUSSEL,PCF,G,3.0
Harris,2026-09-10,2052,5,TONDELIER,LE,G,4.0
Harris,2026-09-10,2052,5,HOLLANDE,PS,G,7.0
Harris,2026-09-10,2052,5,PHILIPPE,HOR,CD,19.0
Harris,2026-09-10,2052,5,RETAILLEAU,LR,CD,9.0
Harris,2026-09-10,2052,5,DUPONT-AIGNAN,DLF,ED,2.0
Harris,2026-09-10,2052,5,LE PEN,RN,ED,33.0
Harris,2026-09-10,2052,5,ZEMMOUR,REC,ED,5.0
Harris,2026-09-10,2052,6,ARTHAUD,LO,G,1.0
Harris,2026-09-10,2052,6,MÉLENCHON,LFI,G,17.0
Harris,2026-09-10,2052,6,ROUSSEL,PCF,G,2.0
Harris,2026-09-10,2052,6,TONDELIER,LE,G,3.0
Harris,2026-09-10,2052,6,GLUCKSMANN,PP,G,12.0
Harris,2026-09-10,2052,6,ATTAL,RE,CD,14.0
Harris,2026-09-10,2052,6,RETAILLEAU,LR,CD,9.0
Harris,2026-09-10,2052,6,DUPONT-AIGNAN,DLF,ED,2.0
Harris,2026-09-10,2052,6,LE PEN,RN,ED,35.0
Harris,2026-09-10,2052,6,ZEMMOUR,REC,ED,5.0
Harris,2026-09-10,2052,7,ARTHAUD,LO,G,1.0
Harris,2026-09-10,2052,7,MÉLENCHON,LFI,G,17.0
Harris,2026-09-10,2052,7,ROUSSEL,PCF,G,3.0
Harris,2026-09-10,2052,7,TONDELIER,LE,G,3.0
Harris,2026-09-10,2052,7,GLUCKSMANN,PP,G,10.0
Harris,2026-09-10,2052,7,PHILIPPE,HOR,CD,17.0
Harris,2026-09-10,2052,7,RETAILLEAU,LR,CD,7.0
Harris,2026-09-10,2052,7,DUPONT-AIGNAN,DLF,ED,3.0
Harris,2026-09-10,2052,7,LE PEN,RN,ED,34.0
Harris,2026-09-10,2052,7,ZEMMOUR,REC,ED,5.0
Harris,2026-09-10,2052,8,ARTHAUD,LO,G,1.0
Harris,2026-09-10,2052,8,MÉLENCHON,LFI,G,16.0
Harris,2026-09-10,2052,8,ROUSSEL,PCF,G,2.0
Harris,2026-09-10,2052,8,TONDELIER,LE,G,3.0
Harris,2026-09-10,2052,8,GLUCKSMANN,PP,G,9.0
Harris,2026-09-10,2052,8,ATTAL,RE,CD,8.0
Harris,2026-09-10,2052,8,PHILIPPE,HOR,CD,14.0
Harris,2026-09-10,2052,8,RETAILLEAU,LR,CD,7.0
Harris,2026-09-10,2052,8,DUPONT-AIGNAN,DLF,ED,2.0
Harris,2026-09-10,2052,8,LE PEN,RN,ED,33.0
Harris,2026-09-10,2052,8,ZEMMOUR,REC,ED,5.0
OpinionWay,2026-09-10,1001,1,ARTHAUD,LO,G,1.0
OpinionWay,2026-09-10,1001,1,MÉLENCHON,LFI,G,16.0
OpinionWay,2026-09-10,1001,1,ROUSSEL,PCF,G,3.0
OpinionWay,2026-09-10,1001,1,TONDELIER,LE,G,3.0
OpinionWay,2026-09-10,1001,1,HOLLANDE,PS,G,7.0
OpinionWay,2026-09-10,1001,1,ATTAL,RE,CD,8.0
OpinionWay,2026-09-10,1001,1,PHILIPPE,HOR,CD,16.0
OpinionWay,2026-09-10,1001,1,RETAILLEAU,LR,CD,7.0
OpinionWay,2026-09-10,1001,1,DUPONT-AIGNAN,DLF,ED,2.0
OpinionWay,2026-09-10,1001,1,LE PEN,RN,ED,32.0
OpinionWay,2026-09-10,1001,1,ZEMMOUR,REC,ED,2.0
OpinionWay,2026-09-10,1001,2,ARTHAUD,LO,G,1.0
OpinionWay,2026-09-10,1001,2,MÉLENCHON,LFI,G,17.0
OpinionWay,2026-09-10,1001,2,ROUSSEL,PCF,G,4.0
OpinionWay,2026-09-10,1001,2,TONDELIER,LE,G,3.0
OpinionWay,2026-09-10,1001,2,ROYAL,PS,G,3.0
OpinionWay,2026-09-10,1001,2,ATTAL,RE,CD,8.0
OpinionWay,2026-09-10,1001,2,PHILIPPE,HOR,CD,16.0
OpinionWay,2026-09-10,1001,2,RETAILLEAU,LR,CD,7.0
OpinionWay,2026-09-10,1001,2,DUPONT-AIGNAN,DLF,ED,3.0
OpinionWay,2026-09-10,1001,2,LE PEN,RN,ED,33.0
OpinionWay,2026-09-10,1001,2,ZEMMOUR,REC,ED,2.0
OpinionWay,2026-09-10,1001,3,ARTHAUD,LO,G,0.5
OpinionWay,2026-09-10,1001,3,MÉLENCHON,LFI,G,17.0
OpinionWay,2026-09-10,1001,3,ROUSSEL,PCF,G,2.0
OpinionWay,2026-09-10,1001,3,TONDELIER,LE,G,3.0
OpinionWay,2026-09-10,1001,3,GLUCKSMANN,PP,G,9.0
OpinionWay,2026-09-10,1001,3,ATTAL,RE,CD,7.0
OpinionWay,2026-09-10,1001,3,PHILIPPE,HOR,CD,15.0
OpinionWay,2026-09-10,1001,3,RETAILLEAU,LR,CD,7.0
OpinionWay,2026-09-10,1001,3,DUPONT-AIGNAN,DLF,ED,2.0
OpinionWay,2026-09-10,1001,3,LE PEN,RN,ED,34.0
OpinionWay,2026-09-10,1001,3,ZEMMOUR,REC,ED,2.0
Ipsos,2026-09-09,13,13,ARTHAUD,LO,G,0.5
Ipsos,2026-09-09,13,13,MÉLENCHON,LFI,G,15.5
Ipsos,2026-09-09,13,13,ROUSSEL,PCF,G,2.5
Ipsos,2026-09-09,13,13,TONDELIER,LE,G,4.0
Ipsos,2026-09-09,13,13,GLUCKSMANN,PP,G,11.5
Ipsos,2026-09-09,13,13,ATTAL,RE,CD,6.0
Ipsos,2026-09-09,13,13,PHILIPPE,HOR,CD,14.0
Ipsos,2026-09-09,13,13,RETAILLEAU,LR,CD,7.0
Ipsos,2026-09-09,13,13,DUPONT-AIGNAN,DLF,ED,2.0
Ipsos,2026-09-09,13,13,LE PEN,RN,ED,33.0
Ipsos,2026-09-09,13,13,ZEMMOUR,REC,ED,4.0
Ipsos,2026-09-09,13,14,ARTHAUD,LO,G,0.5
Ipsos,2026-09-09,13,14,MÉLENCHON,LFI,G,15.5
Ipsos,2026-09-09,13,14,ROUSSEL,PCF,G,2.5
Ipsos,2026-09-09,13,14,TONDELIER,LE,G,4.0
Ipsos,2026-09-09,13,14,GLUCKSMANN,PP,G,12.5
Ipsos,2026-09-09,13,14,PHILIPPE,HOR,CD,17.5
Ipsos,2026-09-09,13,14,RETAILLEAU,LR,CD,8.0
Ipsos,2026-09-09,13,14,DUPONT-AIGNAN,DLF,ED,2.0
Ipsos,2026-09-09,13,14,LE PEN,RN,ED,33.5
Ipsos,2026-09-09,13,14,ZEMMOUR,REC,ED,4.0
Ipsos,2026-09-09,13,15,ARTHAUD,LO,G,0.5
Ipsos,2026-09-09,13,15,MÉLENCHON,LFI,G,15.5
Ipsos,2026-09-09,13,15,ROUSSEL,PCF,G,2.5
Ipsos,2026-09-09,13,15,TONDELIER,LE,G,4.5
Ipsos,2026-09-09,13,15,GLUCKSMANN,PP,G,13.5
Ipsos,2026-09-09,13,15,ATTAL,RE,CD,13.0
Ipsos,2026-09-09,13,15,RETAILLEAU,LR,CD,10.0
Ipsos,2026-09-09,13,15,DUPONT-AIGNAN,DLF,ED,2.0
Ipsos,2026-09-09,13,15,LE PEN,RN,ED,34.0
Ipsos,2026-09-09,13,15,ZEMMOUR,REC,ED,4.5
Ipsos,2026-09-09,13,16,ARTHAUD,LO,G,0.5
Ipsos,2026-09-09,13,16,MÉLENCHON,LFI,G,16.5
Ipsos,2026-09-09,13,16,ROUSSEL,PCF,G,3.0
Ipsos,2026-09-09,13,16,TONDELIER,LE,G,5.0
Ipsos,2026-09-09,13,16,FAURE,PS,G,4.5
Ipsos,2026-09-09,13,16,ATTAL,RE,CD,7.5
Ipsos,2026-09-09,13,16,PHILIPPE,HOR,CD,16.0
Ipsos,2026-09-09,13,16,RETAILLEAU,LR,CD,7.0
Ipsos,2026-09-09,13,16,DUPONT-AIGNAN,DLF,ED,2.0
Ipsos,2026-09-09,13,16,LE PEN,RN,ED,34.0
Ipsos,2026-09-09,13,16,ZEMMOUR,REC,ED,4.0
Ipsos,2026-09-09,13,17,ARTHAUD,LO,G,0.5
Ipsos,2026-09-09,13,17,MÉLENCHON,LFI,G,16.5
Ipsos,2026-09-09,13,17,ROUSSEL,PCF,G,3.5
Ipsos,2026-09-09,13,17,TONDELIER,LE,G,5.5
Ipsos,2026-09-09,13,17,FAURE,PS,G,5.0
Ipsos,2026-09-09,13,17,PHILIPPE,HOR,CD,21.0
Ipsos,2026-09-09,13,17,RETAILLEAU,LR,CD,7.5
Ipsos,2026-09-09,13,17,DUPONT-AIGNAN,DLF,ED,2.0
Ipsos,2026-09-09,13,17,LE PEN,RN,ED,34.5
Ipsos,2026-09-09,13,17,ZEMMOUR,REC,ED,4.0
Ipsos,2026-09-09,13,18,ARTHAUD,LO,G,0.5
Ipsos,2026-09-09,13,18,MÉLENCHON,LFI,G,17.0
Ipsos,2026-09-09,13,18,ROUSSEL,PCF,G,3.5
Ipsos,2026-09-09,13,18,TONDELIER,LE,G,5.5
Ipsos,2026-09-09,13,18,FAURE,PS,G,5.5
Ipsos,2026-09-09,13,18,ATTAL,RE,CD,15.5
Ipsos,2026-09-09,13,18,RETAILLEAU,LR,CD,10.5
Ipsos,2026-09-09,13,18,DUPONT-AIGNAN,DLF,ED,2.5
Ipsos,2026-09-09,13,18,LE PEN,RN,ED,35.0
Ipsos,2026-09-09,13,18,ZEMMOUR,REC,ED,4.5
OpinionWay,2026-09-09,1001,9,ARTHAUD,LO,G,0.5
OpinionWay,2026-09-09,1001,9,MÉLENCHON,LFI,G,15.0
OpinionWay,2026-09-09,1001,9,ROUSSEL,PCF,G,2.0
OpinionWay,2026-09-09,1001,9,TONDELIER,LE,G,3.0
OpinionWay,2026-09-09,1001,9,GLUCKSMANN,PP,G,9.0
OpinionWay,2026-09-09,1001,9,ATTAL,RE,CD,8.0
OpinionWay,2026-09-09,1001,9,PHILIPPE,HOR,CD,15.0
OpinionWay,2026-09-09,1001,9,RETAILLEAU,LR,CD,8.0
OpinionWay,2026-09-09,1001,9,DUPONT-AIGNAN,DLF,ED,2.0
OpinionWay,2026-09-09,1001,9,LE PEN,RN,ED,34.0
OpinionWay,2026-09-09,1001,9,ZEMMOUR,REC,ED,4.0
