rang,commune,dept,mobilisables,conjoncturels,abstentionnistes,inscrits,bureaux,pred_G,pred_CD,pred_ED,pred_AB,gamma_pct,mobilisables_pct_inscrits
1,Marseille,13,7141,15439,212999,522583,482,39.3,22.6,34.0,40.8,46.3,1.4
2,Paris,75,4891,9543,361942,1307680,861,44.8,37.1,14.1,27.6,51.3,0.4
3,Le Havre,76,1704,3422,42329,102073,110,42.8,25.9,29.2,41.6,49.8,1.7
4,Limoges,87,1694,3419,24963,74231,86,38.9,32.4,26.3,34.5,49.5,2.3
5,Nîmes,30,1643,3294,36955,92223,86,36.6,26.2,33.0,40.5,49.9,1.8
6,Avignon,84,1606,3194,23091,56838,71,41.4,22.4,32.6,41.0,50.3,2.8
7,Toulouse,31,1429,2627,77338,258906,267,54.7,24.0,16.6,30.3,54.4,0.6
8,Bastia,2B,1284,3342,10187,20476,27,28.4,26.2,37.6,50.1,38.4,6.3
9,Montpellier,34,1255,2422,60031,168692,139,56.5,18.0,19.8,36.0,51.8,0.7
10,Angers,49,1206,2393,32694,93543,85,42.8,34.1,20.5,35.5,50.4,1.3
11,Toulon,83,1070,2584,40350,104684,128,25.1,29.7,42.6,38.9,41.4,1.0
12,Carcassonne,11,954,1998,11280,29763,36,34.8,23.7,38.9,37.3,47.7,3.2
13,Saint-Quentin,02,926,2704,14675,33590,38,21.9,38.6,40.6,43.7,34.3,2.8
14,Tarbes,65,916,1882,10335,25860,29,38.3,28.4,30.4,41.4,48.7,3.5
15,Bourges,18,912,1957,18010,43405,59,34.3,33.9,29.5,42.3,46.6,2.1
16,Le Mans,72,864,1758,35129,91358,98,46.0,25.0,25.4,39.0,49.1,0.9
17,Arras,62,854,1738,11057,27895,34,35.6,29.9,32.5,39.7,49.1,3.1
18,Aubervilliers,93,842,1486,15377,32309,24,66.6,10.0,17.2,47.6,56.7,2.6
19,Vaulx-En-Velin,69,830,1493,13012,25100,20,60.6,11.2,22.4,52.2,55.6,3.3
20,Martigues,13,814,1659,13493,35792,34,40.5,14.3,42.2,37.9,49.1,2.3
21,Castres,81,812,1915,10904,30341,28,29.3,34.0,35.8,36.0,42.4,2.7
22,Echirolles,38,801,1586,8586,20958,22,47.4,20.8,29.0,41.6,50.5,3.8
23,Alès,30,795,1731,11038,26453,28,33.8,27.1,37.5,42.2,45.9,3.0
24,Epinay-Sur-Seine,93,791,1389,12412,26508,26,63.9,11.5,18.6,47.1,56.9,3.0
25,Brest,29,784,1570,30228,85102,104,46.3,27.2,23.5,35.7,49.9,0.9
26,Orléans,45,782,1490,24070,65800,67,40.3,33.4,23.7,36.8,52.5,1.2
27,Montauban,82,766,1538,13794,41619,49,39.2,25.2,33.9,33.8,49.8,1.8
28,Lens,62,764,1674,10588,22386,22,34.6,17.7,46.5,47.2,45.6,3.4
29,Ajaccio,2A,760,2357,16853,37185,42,19.3,34.7,41.3,45.3,32.2,2.0
30,Nice,06,753,1659,84773,221725,254,27.5,35.9,35.2,38.1,45.4,0.3
31,Créteil,94,741,1469,17827,45799,49,50.9,23.7,21.2,38.8,50.4,1.6
32,Grenoble,38,728,1353,26058,81634,82,56.3,24.1,16.9,32.0,53.8,0.9
33,Strasbourg,67,712,1361,47942,140710,144,49.8,27.8,19.2,34.1,52.3,0.5
34,Rouen,76,705,1348,20663,61172,61,52.5,24.5,18.5,34.5,52.3,1.2
35,Evry-Courcouronnes,91,703,1243,13417,30401,34,54.8,20.8,19.9,43.4,56.6,2.3
36,Béziers,34,697,1659,17916,45061,54,27.0,41.1,36.0,39.7,42.0,1.5
37,Bobigny,93,695,1315,12770,25051,23,62.2,16.0,18.3,51.7,52.8,2.8
38,Dijon,21,689,1403,27318,87261,96,40.7,32.5,24.0,31.8,49.1,0.8
39,Sevran,93,662,1223,10714,23733,25,64.0,9.7,21.5,45.0,54.1,2.8
40,Meaux,77,662,1336,12389,29677,24,41.2,25.9,29.3,41.8,49.6,2.2
41,Brive-La-Gaillarde,19,662,1484,11991,32953,33,31.3,37.5,30.1,36.5,44.6,2.0
42,Mantes-La-Jolie,78,650,1318,10102,22690,21,53.1,22.8,20.0,44.3,49.3,2.9
43,Abbeville,80,632,1378,7783,17848,17,32.7,28.8,38.8,43.5,45.9,3.5
44,Argenteuil,95,628,1176,22398,54365,50,54.7,20.2,20.3,41.1,53.4,1.2
